"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"629104151021","Würth Elektronik","732-5969-1-ND","OCTAVO-USB-BREAKOUT","J2","Cut Tape (CT)","Active","1","2.44000","$2.44","403","17 Weeks","CONN RCPT USB2.0 TYPEA 4P SMD RA","ROHS3 Compliant","Lead free","REACH Unaffected"
"629105136821","Würth Elektronik","732-3155-1-ND","OCTAVO-USB_BREAKOUT","J1","Cut Tape (CT)","Active","1","1.21000","$1.21","3346","15 Weeks","CONN RCPT USB2.0 MICRO B SMD R/A","ROHS3 Compliant","Lead free","REACH Unaffected"
"2-1734592-0","TE Connectivity AMP Connectors","A100287CT-ND","OCTAVO-USB_BREAKOUT","J3","Cut Tape (CT)","Active","1","0.95000","$0.95","32548","17 Weeks","CONN FPC BOTTOM 20POS 0.50MM R/A","RoHS Compliant","Lead free","Not Available"
"GCM188L81H104KA57D","Murata Electronics","490-6049-1-ND","OCTAVO-USB_BREAKOUT","C1","Cut Tape (CT)","Active","1","0.26000","$0.26","6203827","15 Weeks","CAP CER 0.1UF 50V X8L 0603","ROHS3 Compliant","Lead free","Not Available"
